trial,seed,steps,rows,cols,final_prey,final_predators,final_vegetation,prey_extinct,predator_extinct,time_to_prey_extinction,time_to_predator_extinction,mean_prey,mean_predators,mean_vegetation,migration_rate,drought_probability,disease_probability,fragmentation_rate,predation_rate,stability_score,recovery_time_after_drought,scenario
0,42,200,8,8,20594.940318,703.667098,41867.874401,false,false,,,10581.282616,639.320202,44762.001980,0.020000,0.020000,0.010000,0.100000,0.00100000,0.680216,,reference_landscape
1,10015,200,8,8,20444.302886,818.047414,42009.423290,false,false,,,10977.197058,667.214992,45629.670282,0.020000,0.020000,0.010000,0.100000,0.00100000,0.681712,,reference_landscape
2,19988,200,8,8,20865.533428,813.235205,42010.553719,false,false,,,10827.417922,657.882110,44955.630519,0.020000,0.020000,0.010000,0.100000,0.00100000,0.676508,,reference_landscape
3,29961,200,8,8,20378.654506,878.836887,41205.802483,false,false,,,11047.989694,681.046108,45696.903065,0.020000,0.020000,0.010000,0.100000,0.00100000,0.681109,,reference_landscape
4,39934,200,8,8,20142.726009,784.538316,42835.018241,false,false,,,10643.597896,657.623825,44827.121345,0.020000,0.020000,0.010000,0.100000,0.00100000,0.679787,,reference_landscape
5,49907,200,8,8,21265.172263,834.497037,41578.677611,false,false,,,11027.650681,667.793051,45103.427734,0.020000,0.020000,0.010000,0.100000,0.00100000,0.676320,,reference_landscape
6,59880,200,8,8,20835.860791,868.990605,42225.364912,false,false,,,11124.839551,673.779749,45269.212658,0.020000,0.020000,0.010000,0.100000,0.00100000,0.674287,,reference_landscape
7,69853,200,8,8,19658.564391,664.430935,43260.314123,false,false,,,10383.832877,637.786907,43947.561815,0.020000,0.020000,0.010000,0.100000,0.00100000,0.693669,,reference_landscape
8,79826,200,8,8,19787.139140,746.834607,43750.487935,false,false,,,10585.888444,655.104380,44905.117251,0.020000,0.020000,0.010000,0.100000,0.00100000,0.691861,,reference_landscape
9,89799,200,8,8,20692.635809,822.169951,40841.722653,false,false,,,10980.962006,660.873484,44477.713207,0.020000,0.020000,0.010000,0.100000,0.00100000,0.675368,,reference_landscape
